Municipalidade,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total,UF,Latitude,Longitude
CAPITÃO POÇO,,,,,,,6,,,,6,PA,-1.75,-47.06
CARIRI DO TOCANTINS,,,,,,5,,,,,5,TO,-11.89,-49.17
CARMOLÂNDIA,15,,,4,,,,,,,19,TO,-7.03,-48.4
CASEARA,,,,,,,274,,,,274,TO,-9.27,-49.95
CASTANHEIRA,,,,,10,,,,,12,22,PA,-1.3,-47.93
CEREJEIRAS,73,,,,,,,,,,73,RO,-13.2,-60.82
CHAPADA DA NATIVIDADE,,,,,,,,,27,,27,TO,-11.62,-47.75
CHAPADA DOS GUIMARÃES,,,,,,,,,11,,11,MT,-15.46,-55.75
CHUPINGUAIA,128,18,19,,,5,,,6,29,205,RO,-12.56,-60.9
CLÁUDIA,,18,,,,,,,,,18,MT,-11.51,-54.87
CODAJÁS,,,,,,,,,,9,9,AM,-3.83,-62.05
COLINAS DO TOCANTINS,,,,,4,8,4,,,,16,TO,-8.05,-48.48
COLMÉIA,,,,,,,8,20,,,28,TO,-8.73,-48.76
COMODORO,,,,,,6,,,,,6,MT,-13.66,-59.79
CONCEIÇÃO DO ARAGUAIA,,,,,,,,4,11,8,23,PA,-8.26,-49.26
CONCEIÇÃO DO TOCANTINS,,,,4,,12,,,6,,22,TO,-12.22,-47.29
CONCÓRDIA DO PARÁ,,,,,,15,,,,,15,PA,-1.98,-47.95
CONFRESA,272,,1013,,,7,55,,,,1347,MT,-10.64,-51.57
CORUMBIARA,63,,23,,,,,,6,,92,RO,-13,-60.95
COTRIGUAÇU,,,,,,,,6,,,6,MT,-9.89,-58.61
CRISTALÂNDIA,,,,,,,,,,16,16,TO,-10.59,-49.19
CRIXÁS DO TOCANTINS,,,,,,,,,,7,7,TO,-11.1,-48.92
CUIABÁ,,,,,,,,,2,,2,MT,-15.57,-56.07
CUJUBIM,,,,,,,,,22,,22,RO,-9.38,-62.59
CUMARU DO NORTE,360,,,73,,,,15,,,448,PA,-7.81,-50.77
CURIONÓPOLIS,12,,,,,2,,,19,2,35,PA,-6.1,-49.6
DARCINÓPOLIS,8,29,,,,,,,,103,140,TO,-6.71,-47.75
DIAMANTINO,,,,,1,,,,,,1,MT,-14.4,-56.43
DIANÓPOLIS,,,,,,,,,,9,9,TO,-11.63,-46.82
DOIS IRMÃOS,,,,,21,,,,,,21,TO,-9.26,-49.07
DOM ELISEU,64,49,102,129,,,,2,5,,351,PA,-4.29,-47.56
